"filename", "language", "Markdown", "Python", "TOML", "Docker", "pip requirements", "Batch", "Ini", "PowerShell", "Shell Script", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/services/database-service/src/infrastructure/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/database-service/src/interfaces/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/database-service/src/interfaces/cli/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/database-service/src/interfaces/rest/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/database-service/src/main.py", "Python", 0, 55, 0, 0, 0, 0, 0, 0, 0, 15, 21, 91
"/home/jon/repos/charlie-reporting/services/database-service/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/database-service/tests/integration/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/database-service/tests/unit/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/README.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 56
"/home/jon/repos/charlie-reporting/services/email-service/config/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/config/local.toml", "TOML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/jon/repos/charlie-reporting/services/email-service/config/settings.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 9, 41
"/home/jon/repos/charlie-reporting/services/email-service/requirements.txt", "pip requirements", 0, 0, 0, 0, 6, 0, 0, 0, 0, 7, 6, 19
"/home/jon/repos/charlie-reporting/services/email-service/scripts/run-dev.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 9, 51
"/home/jon/repos/charlie-reporting/services/email-service/src/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/src/business/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/src/business/models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/src/business/models/delivery.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 5, 21
"/home/jon/repos/charlie-reporting/services/email-service/src/business/models/email_template.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 5, 21
"/home/jon/repos/charlie-reporting/services/email-service/src/business/models/recipient.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 5, 21
"/home/jon/repos/charlie-reporting/services/email-service/src/business/services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/src/business/services/delivery_tracker.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 5, 18
"/home/jon/repos/charlie-reporting/services/email-service/src/business/services/email_sender.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 5, 18
"/home/jon/repos/charlie-reporting/services/email-service/src/business/services/template_processor.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 5, 18
"/home/jon/repos/charlie-reporting/services/email-service/src/infrastructure/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/src/interfaces/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/src/interfaces/cli/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/src/interfaces/rest/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/src/main.py", "Python", 0, 55, 0, 0, 0, 0, 0, 0, 0, 15, 21, 91
"/home/jon/repos/charlie-reporting/services/email-service/tests/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/tests/integration/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/email-service/tests/unit/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/outlook-relay/Dockerfile", "Docker", 0, 0, 0, 18, 0, 0, 0, 0, 0, 9, 10, 37
"/home/jon/repos/charlie-reporting/services/outlook-relay/README.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 56
"/home/jon/repos/charlie-reporting/services/outlook-relay/config/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/outlook-relay/config/local.toml", "TOML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/jon/repos/charlie-reporting/services/outlook-relay/config/settings.py", "Python", 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 9, 41
"/home/jon/repos/charlie-reporting/services/outlook-relay/requirements.txt", "pip requirements", 0, 0, 0, 0, 5, 0, 0, 0, 0, 6, 5, 16
"/home/jon/repos/charlie-reporting/services/outlook-relay/scripts/run-dev.py", "Python", 0, 37, 0, 0, 0, 0, 0, 0, 0, 5, 9, 51
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/business/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/business/models/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/business/models/attachment.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 8, 5, 21
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/business/models/email.py", "Python", 0, 44, 0, 0, 0, 0, 0, 0, 0, 12, 10, 66
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/business/models/outlook.py", "Python", 0, 35, 0, 0, 0, 0, 0, 0, 0, 14, 13, 62
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/business/services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/business/services/attachment_processor.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 5, 18
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/business/services/email_fetcher.py", "Python", 0, 104, 0, 0, 0, 0, 0, 0, 0, 43, 35, 182
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/business/services/outlook_connector.py", "Python", 0, 5, 0, 0, 0, 0, 0, 0, 0, 8, 5, 18
"/home/jon/repos/charlie-reporting/services/outlook-relay/src/infrastructure/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
