"filename", "language", "Python", "YAML", "Markdown", "Ini", "pip requirements", "JSON", "Shell Script", "comment", "blank", "total"
"/home/jon/repos/charlie-reporting/archive/deprecated/phase1-demos/run_scripts/testing/test_single_csv.py", "Python", 42, 0, 0, 0, 0, 0, 0, -51, 8, -1
"/home/jon/repos/charlie-reporting/archive/deprecated/rest_email_fetcher.py", "Python", -3, 0, 0, 0, 0, 0, 0, -5, 1, -7
"/home/jon/repos/charlie-reporting/archive/deprecated/windows_email_service.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 26, 26
"/home/jon/repos/charlie-reporting/archive/migration/legacy_bridge.py", "Python", -1, 0, 0, 0, 0, 0, 0, -1, 3, 1
"/home/jon/repos/charlie-reporting/docs/final-status-report.md", "Markdown", 0, 0, 140, 0, 0, 0, 0, 0, 68, 208
"/home/jon/repos/charlie-reporting/docs/phase-completion-summary.md", "Markdown", 0, 0, 217, 0, 0, 0, 0, 0, 100, 317
"/home/jon/repos/charlie-reporting/docs/phase4-api-implementation-complete.md", "Markdown", 0, 0, 105, 0, 0, 0, 0, 0, 32, 137
"/home/jon/repos/charlie-reporting/docs/product-delivery-plan.md", "Markdown", 0, 0, 209, 0, 0, 0, 0, 0, 101, 310
"/home/jon/repos/charlie-reporting/docs/report-generator_cleanup.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 24, 82
"/home/jon/repos/charlie-reporting/fix_flake8.py", "Python", 63, 0, 0, 0, 0, 0, 0, 17, 24, 104
"/home/jon/repos/charlie-reporting/fix_indentation.py", "Python", 52, 0, 0, 0, 0, 0, 0, 16, 18, 86
"/home/jon/repos/charlie-reporting/foundation/README.md", "Markdown", 0, 0, 66, 0, 0, 0, 0, 0, 16, 82
"/home/jon/repos/charlie-reporting/foundation/src/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/jon/repos/charlie-reporting/foundation/src/config/settings.py", "Python", 76, 0, 0, 0, 0, 0, 0, 1, 19, 96
"/home/jon/repos/charlie-reporting/foundation/src/pipeline/aggregator.py", "Python", 18, 0, 0, 0, 0, 0, 0, 7, 7, 32
"/home/jon/repos/charlie-reporting/foundation/src/pipeline/collector.py", "Python", 24, 0, 0, 0, 0, 0, 0, 3, 9, 36
"/home/jon/repos/charlie-reporting/foundation/src/pipeline/excel.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 7, 20
"/home/jon/repos/charlie-reporting/foundation/src/pipeline/loader.py", "Python", 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/home/jon/repos/charlie-reporting/foundation/src/services/api.py", "Python", 27, 0, 0, 0, 0, 0, 0, 5, 12, 44
"/home/jon/repos/charlie-reporting/foundation/src/services/sharepoint_stub.py", "Python", 13, 0, 0, 0, 0, 0, 0, 5, 6, 24
"/home/jon/repos/charlie-reporting/foundation/tests/test_settings.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/archiver.py", "Python", -1, 0, 0, 0, 0, 0, 0, -3, -1, -5
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/config_loader.py", "Python", 0, 0, 0, 0, 0, 0, 0, -2, 1, -1
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/email_fetcher.py", "Python", -1, 0, 0, 0, 0, 0, 0, -10, 0, -11
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/excel_writer.py", "Python", -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/logger.py", "Python", 0, 0, 0, 0, 0, 0, 0, -1, -1, -2
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/main.py", "Python", 0, 0, 0, 0, 0, 0, 0, -8, 1, -7
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/transformer.py", "Python", 0, 0, 0, 0, 0, 0, 0, -8, 0, -8
"/home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/utils.py", "Python", -3, 0, 0, 0, 0, 0, 0, -1, -3, -7
