Date : 2025-07-29 18:39:18
Directory : /home/jon/repos/charlie-reporting
Total : 335 files,  10983 codes, 1712 comments, 3557 blanks, all 16252 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/jon/repos/charlie-reporting/demo/run_scripts/quick_email_test.py                                                    | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/setup_secure_email.py                                                  | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/shared_utils.py                                                        | Python           |        -85 |        -79 |        -26 |       -190 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/simple_email_debug.py                                                  | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/simple_email_test.py                                                   | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/simple_password_test.py                                                | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/test_email.bat                                                         | Batch            |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/test_single_csv.py                                                     | Python           |          0 |          0 |         -1 |         -1 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/testing/manual_test.py                                                 | Python           |       -102 |         -8 |        -18 |       -128 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/testing/quick_auth_test.py                                             | Python           |        -31 |         -9 |        -11 |        -51 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/testing/test_email.bat                                                 | Batch            |        -17 |          0 |         -6 |        -23 |
| /home/jon/repos/charlie-reporting/demo/run_scripts/testing/test_single_csv.py                                             | Python           |        -71 |        -79 |        -24 |       -174 |
| /home/jon/repos/charlie-reporting/demo_new_features.py                                                                    | Python           |        -63 |        -21 |        -20 |       -104 |
| /home/jon/repos/charlie-reporting/demos/demo_complete_integration.py                                                      | Python           |       -415 |        -32 |        -13 |       -460 |
| /home/jon/repos/charlie-reporting/demos/demo_configuration_management.py                                                  | Python           |       -286 |        -31 |        -76 |       -393 |
| /home/jon/repos/charlie-reporting/demos/demo_directory_scanning_feature.py                                                | Python           |       -160 |        -28 |        -51 |       -239 |
| /home/jon/repos/charlie-reporting/demos/demo_enhanced_excel_operations.py                                                 | Python           |       -257 |        -34 |        -57 |       -348 |
| /home/jon/repos/charlie-reporting/demos/demo_multiple_outlook_accounts.py                                                 | Python           |       -199 |        -40 |        -74 |       -313 |
| /home/jon/repos/charlie-reporting/demos/demo_real_time_hourly_processing.py                                               | Python           |        -65 |        -18 |        -23 |       -106 |
| /home/jon/repos/charlie-reporting/docs/README.md                                                                          | Markdown         |          0 |          0 |         12 |         12 |
| /home/jon/repos/charlie-reporting/docs/api_framework.md                                                                   | Markdown         |        261 |          0 |         67 |        328 |
| /home/jon/repos/charlie-reporting/docs/architecture/MULTI_REPO_STRUCTURE.md                                               | Markdown         |        234 |          0 |         39 |        273 |
| /home/jon/repos/charlie-reporting/docs/architecture/PATHLIB_MIGRATION.md                                                  | Markdown         |         71 |          0 |         24 |         95 |
| /home/jon/repos/charlie-reporting/docs/architecture/common_service_architecture.md                                        | Markdown         |        515 |          0 |         95 |        610 |
| /home/jon/repos/charlie-reporting/docs/architecture/email_service_design.md                                               | Markdown         |        165 |          0 |         38 |        203 |
| /home/jon/repos/charlie-reporting/docs/architecture/enterprise_architecture.md                                            | Markdown         |        447 |          0 |         82 |        529 |
| /home/jon/repos/charlie-reporting/docs/architecture/implementation_roadmap.md                                             | Markdown         |        254 |          0 |         58 |        312 |
| /home/jon/repos/charlie-reporting/docs/architecture/microservices_architecture.md                                         | Markdown         |        286 |          0 |         57 |        343 |
| /home/jon/repos/charlie-reporting/docs/architecture/project_structure.md                                                  | Markdown         |        354 |          0 |         25 |        379 |
| /home/jon/repos/charlie-reporting/docs/architecture/tdd-optimized-architecture.md                                         | Markdown         |        351 |          0 |        103 |        454 |
| /home/jon/repos/charlie-reporting/docs/cleanup-status-report.md                                                           | Markdown         |         98 |          0 |         26 |        124 |
| /home/jon/repos/charlie-reporting/docs/deliverables/final-delivery-checklist.md                                           | Markdown         |         68 |          0 |         40 |        108 |
| /home/jon/repos/charlie-reporting/docs/deliverables/final-phase2-assessment.md                                            | Markdown         |        165 |          0 |         81 |        246 |
| /home/jon/repos/charlie-reporting/docs/deliverables/phase-2-5-final-deliverable.md                                        | Markdown         |        141 |          0 |         72 |        213 |
| /home/jon/repos/charlie-reporting/docs/deliverables/phase-2-6-sprint-plan.md                                              | Markdown         |        189 |          0 |         71 |        260 |
| /home/jon/repos/charlie-reporting/docs/deliverables/phase-2-final-deliverable.md                                          | Markdown         |        191 |          0 |        105 |        296 |
| /home/jon/repos/charlie-reporting/docs/deliverables/phase2-final-summary.md                                               | Markdown         |        120 |          0 |         62 |        182 |
| /home/jon/repos/charlie-reporting/docs/development-diary.md                                                               | Markdown         |        373 |          0 |        188 |        561 |
| /home/jon/repos/charlie-reporting/docs/migration-plan.md                                                                  | Markdown         |        146 |          0 |         57 |        203 |
| /home/jon/repos/charlie-reporting/docs/phase-plans/day-1-kickstart-guide.md                                               | Markdown         |        156 |          0 |         47 |        203 |
| /home/jon/repos/charlie-reporting/docs/phase-plans/phase-2.5-completion-plan.md                                           | Markdown         |        246 |          0 |         99 |        345 |
| /home/jon/repos/charlie-reporting/docs/phase-plans/phase-2.5-tactical-execution.md                                        | Markdown         |        252 |          0 |         80 |        332 |
| /home/jon/repos/charlie-reporting/docs/phase-plans/phase-2.5-tactical-order.md                                            | Markdown         |        212 |          0 |         72 |        284 |
| /home/jon/repos/charlie-reporting/docs/phase2-integration-complete.md                                                     | Markdown         |        133 |          0 |         51 |        184 |
| /home/jon/repos/charlie-reporting/docs/project-wiki/README.md                                                             | Markdown         |          0 |          0 |         21 |         21 |
| /home/jon/repos/charlie-reporting/docs/project-wiki/milestones.md                                                         | Markdown         |          0 |          0 |         26 |         26 |
| /home/jon/repos/charlie-reporting/docs/sprint-reviews/2025-07-28-phase1-review.md                                         | Markdown         |          0 |          0 |         22 |         22 |
| /home/jon/repos/charlie-reporting/docs/sprint-reviews/2025-07-28-phase2-detailed-plan.md                                  | Markdown         |        315 |          0 |         95 |        410 |
| /home/jon/repos/charlie-reporting/docs/sprint-reviews/2025-07-29-phase2-completion-audit.md                               | Markdown         |        215 |          0 |         95 |        310 |
| /home/jon/repos/charlie-reporting/docs/sprint-reviews/README.md                                                           | Markdown         |          0 |          0 |         10 |         10 |
| /home/jon/repos/charlie-reporting/docs/sprint-reviews/phase2-detailed-plan.md                                             | Markdown         |          0 |          0 |         39 |         39 |
| /home/jon/repos/charlie-reporting/docs/test-migration-complete.md                                                         | Markdown         |        127 |          0 |         33 |        160 |
| /home/jon/repos/charlie-reporting/email_service_design.md                                                                 | Markdown         |       -165 |          0 |        -38 |       -203 |
| /home/jon/repos/charlie-reporting/enterprise_architecture.md                                                              | Markdown         |       -447 |          0 |        -82 |       -529 |
| /home/jon/repos/charlie-reporting/fetch_csv_emails.py                                                                     | Python           |        -41 |         -1 |        -13 |        -55 |
| /home/jon/repos/charlie-reporting/implementation_roadmap.md                                                               | Markdown         |       -254 |          0 |        -58 |       -312 |
| /home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/__init__.py                                           | Python           |          0 |          9 |          2 |         11 |
| /home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/archiver.py                                           | Python           |         21 |         17 |          7 |         45 |
| /home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/config_loader.py                                      | Python           |         39 |         19 |         13 |         71 |
| /home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/email_fetcher.py                                      | Python           |        465 |        163 |        159 |        787 |
| /home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/excel_writer.py                                       | Python           |        164 |         85 |         54 |        303 |
| /home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/logger.py                                             | Python           |         27 |          9 |         10 |         46 |
| /home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/main.py                                               | Python           |        235 |         82 |         62 |        379 |
| /home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/transformer.py                                        | Python           |        165 |         89 |         49 |        303 |
| /home/jon/repos/charlie-reporting/legacy_backup/20250728_235459/src/utils.py                                              | Python           |         13 |         23 |          8 |         44 |
| /home/jon/repos/charlie-reporting/logs/phase2_validation.json                                                             | JSON             |         52 |          0 |          0 |         52 |
| /home/jon/repos/charlie-reporting/microservices_architecture.md                                                           | Markdown         |       -286 |          0 |        -56 |       -342 |
| /home/jon/repos/charlie-reporting/project_structure.md                                                                    | Markdown         |       -354 |          0 |        -25 |       -379 |
| /home/jon/repos/charlie-reporting/pyproject.toml                                                                          | TOML             |        -29 |          0 |         -4 |        -33 |
| /home/jon/repos/charlie-reporting/pytest.ini                                                                              | Ini              |         -6 |          0 |          0 |         -6 |
| /home/jon/repos/charlie-reporting/rest_email_fetcher.py                                                                   | Python           |       -264 |        -66 |        -71 |       -401 |
| /home/jon/repos/charlie-reporting/run.py                                                                                  | Python           |         21 |          1 |          6 |         28 |
| /home/jon/repos/charlie-reporting/scripts/README.md                                                                       | Markdown         |         48 |          0 |         20 |         68 |
| /home/jon/repos/charlie-reporting/scripts/analyze_src_deletion.py                                                         | Python           |        155 |         12 |         30 |        197 |
| /home/jon/repos/charlie-reporting/scripts/check_integration_dependencies.py                                               | Python           |        210 |         85 |         54 |        349 |
| /home/jon/repos/charlie-reporting/scripts/cleanup_root_directory.py                                                       | Python           |        243 |         53 |         71 |        367 |
| /home/jon/repos/charlie-reporting/scripts/complete_final_migration.py                                                     | Python           |         52 |         16 |         19 |         87 |
| /home/jon/repos/charlie-reporting/scripts/final_deletion_check.py                                                         | Python           |         84 |          9 |         13 |        106 |
| /home/jon/repos/charlie-reporting/scripts/final_deliverable_validation.py                                                 | Python           |        145 |         17 |         36 |        198 |
| /home/jon/repos/charlie-reporting/scripts/fix_markdown_lint.py                                                            | Python           |         36 |         11 |         15 |         62 |
| /home/jon/repos/charlie-reporting/scripts/migrate_legacy_code.py                                                          | Python           |        335 |         35 |         29 |        399 |
| /home/jon/repos/charlie-reporting/scripts/migrate_tests_to_services.py                                                    | Python           |        185 |         45 |         48 |        278 |
| /home/jon/repos/charlie-reporting/scripts/phase2_validation.py                                                            | Python           |        302 |         46 |         65 |        413 |
| /home/jon/repos/charlie-reporting/scripts/run_integration_tests.py                                                        | Python           |        150 |         39 |         45 |        234 |
| /home/jon/repos/charlie-reporting/scripts/test_runner.py                                                                  | Python           |        134 |         15 |         38 |        187 |
| /home/jon/repos/charlie-reporting/services/README-template.md                                                             | Markdown         |         32 |          0 |         17 |         49 |
| /home/jon/repos/charlie-reporting/services/database-service/config/__init__.py                                            | Python           |          0 |         -1 |         -1 |         -2 |
| /home/jon/repos/charlie-reporting/services/database-service/config/local.toml                                             | TOML             |        -15 |          0 |         -4 |        -19 |
| /home/jon/repos/charlie-reporting/services/database-service/config/settings.py                                            | Python           |        -25 |         -7 |         -9 |        -41 |
